epoch,train_loss,train_mae,val_loss,val_mae
1,13.371567774510037,14.331105411916539,8.78853327035904,9.760062992572784
2,7.882841476495715,8.840204487676205,8.474127233028412,9.443124115467072
3,7.762108187744583,8.714827468429787,9.101640582084656,10.071456909179688
4,7.565577285877173,8.517049941463746,8.439322471618652,9.41815197467804
5,7.550817600194959,8.502286116282145,7.621036529541016,8.55131047964096
6,7.467292170593704,8.417487503825754,7.606293976306915,8.536334156990051
7,7.414812226226364,8.363139366758043,8.221578776836395,9.18494027853012
8,7.46119869619176,8.419441727624424,7.900724232196808,8.871290922164917
9,7.407035067461539,8.354242587435072,8.533822476863861,9.503978848457336
10,7.244497295738994,8.194097995758057,8.026747584342957,8.991907000541687
11,7.5291542454042295,8.488082775171252,8.172263324260712,9.15371322631836
12,7.547312079996303,8.507344943889674,8.055706799030304,9.024483561515808
13,7.3469008846559385,8.295125325520834,7.5821327567100525,8.52585518360138
14,7.33451373335244,8.293855750042459,7.907900810241699,8.881107151508331
15,7.285857020944789,8.23887748994689,7.744109392166138,8.713379919528961
16,7.443747541178828,8.402433892954951,7.5632078647613525,8.505346655845642
17,7.622156336687613,8.577595579451408,7.7559531927108765,8.72097098827362
18,7.352504184280616,8.31255170573359,7.871832191944122,8.840021133422852
19,7.471448255621868,8.42123308043549,7.796966075897217,8.757122337818146
20,7.438430993453316,8.390796246735945,7.559171438217163,8.481910943984985
21,7.5060097238291865,8.46104583878448,7.650368809700012,8.587026834487915
22,7.316647149514461,8.261220289313275,7.548023581504822,8.476403295993805
23,7.376689710478852,8.332434626593106,7.713221788406372,8.662405550479889
24,7.508383267167686,8.461985899054486,8.172132194042206,9.146385490894318
25,7.308974991674009,8.25402695890786,7.8340944647789,8.79902172088623
26,7.3955714979033536,8.347053472546564,7.6979692578315735,8.665850460529327
27,7.209127592003864,8.163132612256037,7.882060348987579,8.851808369159698
28,7.248386351958565,8.208657465119293,7.605417251586914,8.560020506381989
29,7.3841234255528105,8.332183012063952,7.69237345457077,8.628216743469238
30,7.26034200709799,8.222633776457414,8.110215663909912,9.091693818569183
31,7.367839564447817,8.3249221470045,7.669988930225372,8.628481984138489
32,7.337134540944859,8.292154996291451,7.6265482902526855,8.567353546619415
33,7.488184431324834,8.445210539776346,7.725139737129211,8.680629193782806
34,7.597536798836528,8.558675254600635,7.759267508983612,8.734485745429993
