epoch,train_loss,train_mae,val_loss,val_mae
1,2966.8925750347285,2967.8567271140905,11.923696994781494,12.884629090627035
2,389.9779436038091,390.9294001505925,10.649274508158365,11.623263915379843
3,13.400866490143995,14.359786950624907,12.393513838450113,13.34252119064331
4,9.47749206653008,10.43702716093797,10.889264742533365,11.8636523882548
5,8.370661313717182,9.328919392365675,10.614570299784342,11.598480542500814
6,7.755095060055073,8.69135631964757,10.247011184692383,11.231626510620117
7,7.623714424096621,8.578957640207731,11.485137780507406,12.463177998860678
8,7.3195937138337355,8.274177322020897,10.660192012786865,11.643859386444092
9,8.679192611804375,9.622766856963818,8.260243733723959,9.198886712392172
10,7.504646484668438,8.45323318701524,7.762586196263631,8.731878360112509
11,7.983283657294053,8.929522826121403,9.506145397822062,10.455572605133057
12,6.981528089596675,7.929101137014536,6.797885815302531,7.734608093897502
13,7.480717402238112,8.41311173255627,9.486661752065023,10.465290546417236
14,6.99357637992272,7.933863043785095,10.122101465861002,11.10806131362915
15,7.161978629919199,8.094937315353981,9.629122336705526,10.60220718383789
16,7.255504768628341,8.193160194617052,7.9740416208903,8.914159456888834
17,6.910777701781346,7.851368271387541,7.296873648961385,8.225345849990845
18,7.318036849682148,8.252701062422533,10.34438975652059,11.337769667307535
19,7.246819404455332,8.184811619611887,7.982887188593547,8.94911233584086
20,6.893248755198258,7.827023185216463,10.366645336151123,11.361095110575357
21,6.381435614365798,7.313846679834219,9.249224265416464,10.227168718973795
22,6.439532802655147,7.367702988477854,6.806288083394368,7.7232175668080645
23,6.111380957640135,7.026109631244953,6.947455088297526,7.882847150166829
24,6.445524133168734,7.3721326772983256,7.826141834259033,8.791381200154623
25,6.365440882169283,7.286967451755817,8.303262710571289,9.262065092722574
26,7.262187829384437,8.197883358368507,10.294403076171875,11.2776460647583
27,8.08012474500216,9.01899867791396,8.127929051717123,9.087490797042847
28,6.011199740263132,6.939382718159602,6.473749876022339,7.417677164077759
29,6.104320365649003,7.026262971071096,6.362555980682373,7.288012663523356
30,6.35251582127351,7.287353744873633,6.600220123926799,7.524455706278483
31,5.999530159510099,6.915837324582613,6.203708251317342,7.1452709039052325
32,5.922815336630895,6.8424043242747965,7.178702354431152,8.119985342025757
33,5.821217101353866,6.7369201733515816,7.271668831507365,8.217923641204834
34,5.942052919131059,6.860623460549575,7.656221787134807,8.581280946731567
35,5.821413141030532,6.742558222550612,7.394257545471191,8.340240160624186
36,6.510219633579254,7.438428411116967,6.020630439122518,6.959214607874553
37,7.721635424173796,8.655170275614811,9.04003103574117,10.002047697703043
38,5.984055321950179,6.890347191920648,5.793368577957153,6.7136499881744385
39,5.299332714997805,6.205927051030672,7.024774233500163,7.968305826187134
40,5.723933508762946,6.628964754251333,5.7835062344868975,6.702345132827759
41,6.396107100523436,7.296362422979795,6.361206293106079,7.269526243209839
42,5.651646847908314,6.561264514923096,6.2733070850372314,7.1572801272074384
43,6.015284240245819,6.930857543761913,8.071276505788168,8.994944254557291
44,5.659897228846183,6.569188727782323,7.007158120473226,7.948019345601399
45,5.4010327481306515,6.301883440751296,6.706070741017659,7.622716983159383
46,5.6276779404053325,6.520451857493474,6.425879796346028,7.350667317708333
47,5.37478664288154,6.273173543123098,6.174155155817668,7.096475998560588
48,5.773982905424559,6.68318064396198,5.793402115503947,6.69648798306783
49,5.475613373976487,6.370384752750397,6.6693979899088545,7.582185665766398
50,5.776689648628235,6.6849787418658915,6.453030983606975,7.373510281244914
51,5.691910097232232,6.594980767140021,8.573825359344482,9.499923865000406
52,5.445824953225943,6.330570285136883,6.023880243301392,6.907084544499715
53,6.201794349230253,7.119302694614117,5.812682588895162,6.734644015630086
54,5.573051415956938,6.471525714947627,6.172671000162761,7.0697706540425616
55,5.948950341114631,6.8513316833055935,6.564664443333943,7.47514796257019
56,5.508978149065604,6.402454875982725,5.78888201713562,6.698362112045288
57,5.391979864010444,6.287041948391841,5.689656376838684,6.5756345589955645
58,5.607125552800985,6.51827098773076,6.292738755544026,7.229913552602132
59,5.393533945083618,6.292719162427462,6.115757783253987,7.041795174280803
60,5.511652501729818,6.40986089523022,5.41157865524292,6.325531562169393
61,5.443352286632244,6.336500154091762,5.802953243255615,6.7128580411275225
62,5.487692273580111,6.382731740291302,6.2439188957214355,7.170148611068726
63,5.535090721570528,6.443382767530588,5.864193360010783,6.778952678044637
64,5.138464184907766,6.029057878714341,6.495622952779134,7.412370999654134
65,6.010852479017698,6.92133385860003,6.677002032597859,7.614039262135823
66,5.427802970776191,6.331792175769806,6.740602890650432,7.671737909317017
67,5.435250699520111,6.336807241806617,5.530862331390381,6.431016127268474
68,5.405963407113002,6.295175740352044,5.440060456593831,6.342448314030965
69,5.179888427257538,6.0663182368645305,6.106226364771525,7.049911260604858
70,5.340800367868864,6.229131556474245,5.901156346003215,6.803287426630656
71,5.650308274305784,6.544063815703759,5.505694309870402,6.409012873967488
72,5.5160163182478685,6.420169215935927,6.425009091695149,7.3469728628794355
