feature,importance_mean,importance_std
prot_qpgp,9.296126784919391,0.799162456437636
teff,0.3580120588009291,0.1113102797124859
ls_qpgp_gap,0.17617742057912697,0.042911549519676885
cnn_ls_gap,0.06465011469928925,0.02744326126335171
gps_qpgp_gap,0.0399673250463668,0.021260387532925105
prot_ls,0.027271033616951178,0.02120460127841534
lightpred_pred,0.02541462567673002,0.009113232828707022
log_flux_std,0.0224878810423369,0.017027307252903114
cnn_pred,0.01597331524039417,0.011905568632622722
n_points,0.012552225696906182,0.01492569069380161
cadence_days,0.007440071241758661,0.011835714872673183
qpgp_logL,0.0072367756070985554,0.010878548182829172
prot_gps,0.0066865298950922305,0.009930887394428139
q_gps,0.002232696000520784,0.04950845016062062
qpgp_success,-1.7763568394002506e-16,3.1086244689504386e-16
acf_available,-1.2148220164698297e-05,2.6462772507078446e-05
prot_acf,-6.509457090759785e-05,0.0023973636094791408
gps_available,-0.00020038575837745266,7.455550243816632e-05
cnn_qpgp_gap,-0.0040343241565241605,0.011655820824184466
time_span_days,-0.0041919645042869155,0.009143297686936563
lstm_pred,-0.004578729424927186,0.006355584987208023
log_flux_median,-0.020055309450689084,0.028508819592032643
